"Unfall mit Getöteten";"Basel-Landschaft";"Nebenstrasse";"Ausserorts";3;1
"Unfall mit Getöteten";"Basel-Landschaft";"Nebenstrasse";"Innerorts";4;0
"Unfall mit Getöteten";"Basel-Landschaft";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Landschaft";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Hauptstrasse";"Ausserorts";0;1
"Unfall mit Getöteten";"Schaffhausen";"Hauptstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Nebenstrasse";"Innerorts";1;1
"Unfall mit Getöteten";"Schaffhausen";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Schaffhausen";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Hauptstrasse";"Ausserorts";0;1
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Hauptstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Ausserrhoden";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Hauptstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Hauptstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Appenzell-Innerrhoden";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Sankt Gallen";"Autobahn";"Ausserorts";1;1
"Unfall mit Getöteten";"Sankt Gallen";"Autobahn";"Innerorts";0;0
